"ID","Name"
"655374","Salesforce-LDAP"
"655375","Salesforce-NetBIOS.Session.Service"
"655376","Salesforce-RTMP"
"655384","Salesforce-NetBIOS.Name.Service"
"655360","Salesforce-Other"
"655530","Salesforce-Email.Relay"
"720897","Dropbox-Web"
"720898","Dropbox-ICMP"
"720899","Dropbox-DNS"
"720900","Dropbox-Outbound_Email"
"720902","Dropbox-SSH"
"720903","Dropbox-FTP"
"720904","Dropbox-NTP"
"720905","Dropbox-Inbound_Email"
"720910","Dropbox-LDAP"
"720911","Dropbox-NetBIOS.Session.Service"
"720912","Dropbox-RTMP"
"720920","Dropbox-NetBIOS.Name.Service"
"720896","Dropbox-Other"
"786433","Netflix-Web"
"786434","Netflix-ICMP"
"786435","Netflix-DNS"
"786436","Netflix-Outbound_Email"
"786438","Netflix-SSH"
"786439","Netflix-FTP"
"786440","Netflix-NTP"
"786441","Netflix-Inbound_Email"
"786446","Netflix-LDAP"
"786447","Netflix-NetBIOS.Session.Service"
"786448","Netflix-RTMP"
"786456","Netflix-NetBIOS.Name.Service"
"786432","Netflix-Other"
"851969","LinkedIn-Web"
"851970","LinkedIn-ICMP"
"851971","LinkedIn-DNS"
"851972","LinkedIn-Outbound_Email"
"851974","LinkedIn-SSH"
"851975","LinkedIn-FTP"
"851976","LinkedIn-NTP"
"851977","LinkedIn-Inbound_Email"
"851982","LinkedIn-LDAP"
"851983","LinkedIn-NetBIOS.Session.Service"
"851984","LinkedIn-RTMP"
"851992","LinkedIn-NetBIOS.Name.Service"
"851968","LinkedIn-Other"
"917505","Adobe-Web"
"917506","Adobe-ICMP"
"917507","Adobe-DNS"
"917508","Adobe-Outbound_Email"
"917510","Adobe-SSH"
"917511","Adobe-FTP"
"917512","Adobe-NTP"
"917513","Adobe-Inbound_Email"
"917518","Adobe-LDAP"
"917519","Adobe-NetBIOS.Session.Service"
"917520","Adobe-RTMP"
"917528","Adobe-NetBIOS.Name.Service"
"917504","Adobe-Other"
"917640","Adobe-Adobe.Experience.Cloud"
"917776","Adobe-Adobe.Sign"
"983041","Oracle-Web"
"983042","Oracle-ICMP"
"983043","Oracle-DNS"
"983044","Oracle-Outbound_Email"
"983046","Oracle-SSH"
"983047","Oracle-FTP"
"983048","Oracle-NTP"
"983049","Oracle-Inbound_Email"
"983054","Oracle-LDAP"
"983055","Oracle-NetBIOS.Session.Service"
"983056","Oracle-RTMP"
"983064","Oracle-NetBIOS.Name.Service"
"983040","Oracle-Other"
"983171","Oracle-Oracle.Cloud"
"1048577","Hulu-Web"
"1048578","Hulu-ICMP"
"1048579","Hulu-DNS"
"1048580","Hulu-Outbound_Email"
"1048582","Hulu-SSH"
"1048583","Hulu-FTP"
"1048584","Hulu-NTP"
